T,current_km,best_km
106.185942167,-8855499.35753,-8855920.1829
106.079809273,-8862017.80201,-8862091.07258
105.97378246,-8866856.97791,-8866948.73498
105.86786162,-8866567.52632,-8867007.42266
105.762046648,-8866382.74086,-8867011.3238
105.656337438,-8872038.0628,-8872200.74788
105.550733885,-8872806.35534,-8872842.21705
105.445235883,-8872433.61764,-8873415.38431
105.339843326,-8873248.1437,-8873915.40319
105.234556108,-8874819.18009,-8874819.18009
105.129374126,-8872857.77032,-8874911.01524
105.024297273,-8872855.28108,-8874911.01524
104.919325444,-8873149.08032,-8874911.01524
104.814458534,-8873801.58434,-8874911.01524
104.709696439,-8873985.26221,-8874911.01524
104.605039054,-8873955.47449,-8874911.01524
104.500486274,-8874474.28256,-8874911.01524
104.396037994,-8875927.96641,-8875927.96641
104.291694111,-8876865.08222,-8877585.42422
104.187454519,-8877838.06841,-8878195.15206
104.083319115,-8878775.03801,-8878879.58104
103.979287794,-8877678.58336,-8879737.30536
103.875360453,-8878172.75321,-8879737.30536
103.771536987,-8879144.18882,-8879737.30536
103.667817293,-8879149.60475,-8880012.68637
103.564201266,-8878652.36304,-8880012.68637
103.460688804,-8878592.31498,-8880012.68637
103.357279802,-8879063.00864,-8880012.68637
103.253974158,-8879517.5541,-8880012.68637
103.150771768,-8879792.5254,-8880246.09322
103.047672529,-8882364.53057,-8882411.45432
102.944676337,-8882239.07581,-8882411.45432
102.84178309,-8882233.32467,-8882569.32822
102.738992685,-8883057.69181,-8883442.97553
102.636305019,-8883725.44543,-8884293.314
102.53371999,-8886817.32126,-8886945.39183
102.431237494,-8888165.64838,-8888607.87773
102.328857429,-8888777.62339,-8889443.60378
102.226579694,-8888947.07953,-8889443.60378
102.124404185,-8889144.08244,-8889443.60378
102.0223308,-8892415.97286,-8892541.20162
101.920359438,-8892279.2893,-8892632.05593
101.818489996,-8892517.4604,-8892661.80462
101.716722373,-8894290.54949,-8894351.11684
101.615056467,-8897475.24345,-8897475.24345
101.513492176,-8898086.4383,-8898157.6726
101.412029398,-8896643.11154,-8898157.6726
101.310668032,-8896475.34159,-8898157.6726
101.209407977,-8895623.14605,-8898157.6726
101.108249132,-8897680.40868,-8898157.6726
101.007191395,-8897126.95827,-8898157.6726
100.906234665,-8898717.53792,-8898717.53792
100.805378842,-8898921.72157,-8899225.66149
100.704623823,-8899293.30191,-8899293.30191
100.60396951,-8899698.11449,-8899792.81084
100.503415801,-8900304.94172,-8900375.99773
100.402962595,-8900175.36589,-8900463.38107
100.302609792,-8900443.14009,-8900872.36496
100.202357292,-8901522.0202,-8901772.32492
100.102204994,-8904292.12124,-8904308.98759
100.002152798,-8906774.88281,-8906989.32978
99.9022006048,-8906468.52546,-8906989.32978
99.8023483137,-8906653.70691,-8906989.32978
99.702595825,-8907478.83732,-8907501.22497
99.6029430389,-8907565.86424,-8907815.98803
99.5033898559,-8907770.07135,-8908096.12585
99.4039361763,-8908341.72688,-8909127.02445
99.3045819007,-8909612.4374,-8909612.4374
99.2053269298,-8909718.25017,-8909718.25017
99.1061711642,-8909942.36093,-8910482.4792
99.0071145049,-8910383.80018,-8910987.42012
98.9081568527,-8910770.93467,-8910987.42012
98.8092981088,-8911962.79899,-8911962.79899
98.7105381742,-8912535.34988,-8912756.64827
98.6118769502,-8913973.61186,-8913973.61186
98.5133143381,-8913377.06684,-8913976.01715
98.4148502394,-8913767.47447,-8914118.70016
98.3164845557,-8914683.31823,-8914683.31823
98.2182171884,-8913636.47251,-8915360.73554
98.1200480394,-8913254.3831,-8915360.73554
98.0219770106,-8913552.86251,-8915360.73554
